DS,Y
2023-07-28 03:00:00,502.0
2023-07-28 03:05:00,542.0
2023-07-28 03:10:00,658.0
2023-07-28 03:15:00,566.0
2023-07-28 03:20:00,580.0
2023-07-28 03:25:00,620.0
2023-07-28 03:30:00,484.0
2023-07-28 03:35:00,484.0
2023-07-28 03:40:00,572.0
2023-07-28 03:45:00,366.0
2023-07-28 03:50:00,424.0
2023-07-28 03:55:00,598.0
2023-07-28 04:00:00,436.0
2023-07-28 04:05:00,464.0
2023-07-28 04:10:00,538.0
2023-07-28 04:15:00,380.0
2023-07-28 04:20:00,460.0
2023-07-28 04:25:00,682.0
2023-07-28 04:30:00,516.0
2023-07-28 04:35:00,400.0
2023-07-28 04:40:00,520.0
2023-07-28 04:45:00,422.0
2023-07-28 04:50:00,472.0
2023-07-28 04:55:00,504.0
2023-07-28 05:00:00,454.0
2023-07-28 05:05:00,430.0
2023-07-28 05:10:00,584.0
2023-07-28 05:15:00,413.0
2023-07-28 05:20:00,400.0
2023-07-28 05:25:00,545.0
2023-07-28 05:30:00,424.0
2023-07-28 05:35:00,428.0
2023-07-28 05:40:00,428.0
2023-07-28 05:45:00,260.0
2023-07-28 05:50:00,370.0
2023-07-28 05:55:00,436.0
2023-07-28 06:00:00,318.0
2023-07-28 06:05:00,360.0
2023-07-28 06:10:00,522.0
2023-07-28 06:15:00,306.0
2023-07-28 06:20:00,340.0
2023-07-28 06:25:00,460.0
2023-07-28 06:30:00,322.0
2023-07-28 06:35:00,394.0
2023-07-28 06:40:00,420.0
2023-07-28 06:45:00,232.0
2023-07-28 06:50:00,260.0
2023-07-28 06:55:00,364.0
2023-07-28 07:00:00,274.0
2023-07-28 07:05:00,208.0
2023-07-28 07:10:00,370.0
2023-07-28 07:15:00,240.0
2023-07-28 07:20:00,322.0
2023-07-28 07:25:00,386.0
2023-07-28 07:30:00,284.0
2023-07-28 07:35:00,294.0
2023-07-28 07:40:00,310.0
2023-07-28 07:45:00,224.0
2023-07-28 07:50:00,228.0
2023-07-28 07:55:00,376.0
2023-07-28 08:00:00,296.0
2023-07-28 08:05:00,326.0
2023-07-28 08:10:00,384.0
2023-07-28 08:15:00,226.0
2023-07-28 08:20:00,328.0
2023-07-28 08:25:00,382.0
2023-07-28 08:30:00,204.0
2023-07-28 08:35:00,276.0
2023-07-28 08:40:00,380.0
2023-07-28 08:45:00,252.0
2023-07-28 08:50:00,242.0
2023-07-28 08:55:00,390.0
2023-07-28 09:00:00,246.0
2023-07-28 09:05:00,192.0
2023-07-28 09:10:00,320.0
2023-07-28 09:15:00,232.0
2023-07-28 09:20:00,260.0
2023-07-28 09:25:00,328.0
2023-07-28 09:30:00,214.0
2023-07-28 09:35:00,314.0
2023-07-28 09:40:00,370.0
2023-07-28 09:45:00,210.0
2023-07-28 09:50:00,246.0
2023-07-28 09:55:00,358.0
2023-07-28 10:00:00,286.0
2023-07-28 10:05:00,276.0
2023-07-28 10:10:00,457.0
2023-07-28 10:15:00,276.0
2023-07-28 10:20:00,266.0
2023-07-28 10:25:00,360.0
2023-07-28 10:30:00,287.0
2023-07-28 10:35:00,352.0
2023-07-28 10:40:00,418.0
2023-07-28 10:45:00,296.0
2023-07-28 10:50:00,300.0
2023-07-28 10:55:00,420.0
2023-07-28 11:00:00,306.0
2023-07-28 11:05:00,340.0
2023-07-28 11:10:00,508.0
2023-07-28 11:15:00,313.0
2023-07-28 11:20:00,361.0
2023-07-28 11:25:00,474.0
2023-07-28 11:30:00,314.0
2023-07-28 11:35:00,418.0
2023-07-28 11:40:00,504.0
2023-07-28 11:45:00,616.0
2023-07-28 11:50:00,712.0
2023-07-28 11:55:00,594.0
2023-07-28 12:00:00,732.0
2023-07-28 12:05:00,540.0
2023-07-28 12:10:00,834.0
2023-07-28 12:15:00,403.0
2023-07-28 12:20:00,461.0
2023-07-28 12:25:00,611.0
2023-07-28 12:30:00,503.0
2023-07-28 12:35:00,524.0
2023-07-28 12:40:00,1015.0
2023-07-28 12:45:00,914.0
2023-07-28 12:50:00,794.0
2023-07-28 12:55:00,928.0
2023-07-28 13:00:00,891.0
